NU_MATRICULA,TIPO_BOLSA,ID_UNIDADE,NOME_UNIDADE,DATA_INICIO,DATA_FIM,VALOR_BOLSA,MES_REFERENCIA
200742726,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,08/07/19,,400,06/2020
200770564,BOLSA CAA NÍVEL 2,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,20/12/18,,300,06/2020
200770564,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200772279,BOLSA CAV NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,12/05/16,,700,06/2020
200772279,AUXÍLIO COMPLEMENTAR MORADIA INTERIOR,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,100,06/2020
200772279,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200772722,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/18,,400,06/2020
200772722,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200773323,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,09/07/19,,400,06/2020
200774929,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200775089,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,22/04/16,,400,06/2020
200775280,BOLSA CAA NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/05/16,,600,06/2020
200775280,AUXÍLIO COMPLEMENTAR MORADIA INTERIOR,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,100,06/2020
200775280,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200778341,BOLSA CAA NÍVEL 1,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,09/05/16,,200,06/2020
200778350,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/08/18,,300,06/2020
200779025,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,10/05/16,,300,06/2020
200779025,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200788259,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,300,06/2020
200788292,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,06/05/16,,400,06/2020
200788419,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/05/16,,400,06/2020
200788419,AUXÍLIO COMPLEMENTAR MORADIA RECIFE,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,300,06/2020
200788419,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200788651,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,400,06/2020
200788651,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200793173,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/04/18,,400,06/2020
200799050,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,16/05/16,,400,06/2020
200799050,AUXÍLIO COMPLEMENTAR RESIDENTES,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,100,06/2020
200799050,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200799246,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/11/17,,400,06/2020
200799381,BOLSA CAV NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,05/05/16,,500,06/2020
200799396,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,13/10/15,,400,06/2020
200799441,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/08/17,,400,06/2020
200799725,AUXÍLIO COMPLEMENTAR MORADIA INTERIOR,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,100,06/2020
200799725,BOLSA CAA NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/04/19,,600,06/2020
200799725,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200799981,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,29/10/15,,300,06/2020
200800155,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/18,,300,06/2020
200800186,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,20/04/16,,400,06/2020
200800325,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/05/16,,400,06/2020
200800325,AUXÍLIO COMPLEMENTAR MORADIA RECIFE,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,300,06/2020
200800325,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200800358,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,06/05/16,,400,06/2020
200800362,BOLSA RECIFE NÍVEL 2,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/17,,200,06/2020
200800451,BOLSA CAA NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/07/16,,600,06/2020
200800451,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200800473,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,09/05/16,,400,06/2020
200800473,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200800722,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,20/12/18,,400,06/2020
200800855,BOLSA RECIFE NÍVEL 2,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,16/05/16,,200,06/2020
200800863,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,300,06/2020
200801070,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/19,,400,06/2020
200801127,BOLSA CAA NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/05/16,,600,06/2020
200801127,AUXÍLIO COMPLEMENTAR MORADIA INTERIOR,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,100,06/2020
200801127,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200801137,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,06/05/16,,400,06/2020
200801451,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/12/19,,400,06/2020
200801510,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,29/04/16,,400,06/2020
200801646,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,04/05/16,,300,06/2020
200801646,AUXÍLIO EMERGENCIAL COVID19 VINC. NÍVEIS,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/20,,274,06/2020
200801702,BOLSA CAA NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,05/06/16,,400,06/2020
200801752,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,18/04/16,,400,06/2020
200801752,AUXÍLIO COMPLEMENTAR MORADIA RECIFE,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,300,06/2020
200801752,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200801774,BOLSA CAV NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/05/16,,700,06/2020
200801973,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,400,06/2020
200801973,AUXÍLIO COMPLEMENTAR RESIDENTES,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/06/16,,100,06/2020
200801973,AUX FINANCEIRO COVID19,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/03/20,,274,06/2020
200802175,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,27/05/16,,400,06/2020
200802261,BOLSA RECIFE NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/05/18,,300,06/2020
200802261,AUXILIO CRECHE,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,01/08/18,,350,06/2020
200802436,BOLSA CAV NÍVEL 3,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,23/05/16,,500,06/2020
200802769,BOLSA RECIFE NÍVEL 4,1189,PRÓ-REITORIA PARA ASSUNTOS ESTUDANTIS,26/04/16,,400,06/2020
